,level_0,COUNTY,YEAR,STATEABBR,STATEID,REGION,JUVF,JUVM,BLACK,BLACKM,BLACKF,HISP,HISPM,HISPF,WHITE,WHITEM,WHITEF,ASIAN,ASIANM,ASIANF,AIAN,AIANM,AIANF,NHOPI,NHPIM,NHPIF,OTHERRACE,ADDRACEM,ADDRACEF,TWORACE,TWORACEM,TWORACEF,RACEDK,UNKRACEM,UNKRACEF,NONCITZ,CUSCTZNM,CUSCTZNF,ADMIS,ADTOTM,ADTOTF,CONFPOP,CUSTOTM,CUSTOTF,RELEASE,RELEASEF,RELEASEM,CONV,CUSUNSM,CUSUNSF,RTIID,CITY,ZIP,CNTYCODE,FELONY,MISD,UNCONV,WEEKN,STATE,CODE,CountyState,Year,StateCode,CountyID,WhiteMales,WhiteFemales,AggrWhites,FreeColoredMales,FreeColoredFemales,AggrColored,MaleSlaves,FemaleSlaves,AggrSlaves,OneSlave,TwoSlaves,ThreeSlaves,FourSlaves,FiveSlaves,SixSlaves,SevenSlaves,EigthSlaves,NineSlaves,TenFourSlaves,FifteenNineSlaves,TwentyNineSlaves,ThirtyNineSlaves,FortyNineSlaves,FiftySixNineSlaves,SeventyNineSlaves,OneHundSlaves,TwoHundSlaves,ThreeHundSlaves,OneThouSlaves,GreaterSlaves,TotalSlaveholders,TotalSlaves,Families,TotalFree
4783,TROUP,,2015,GA,11,NA,0,0,205.0,NA,NA,12.0,NA,NA,133.0,NA,NA,1.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,12.0,NA,NA,6132.0,NA,NA,351.0,NA,NA,3331.0,965,2366,72.0,NA,NA,10956514,LaGrange                ,30240     ,13285,213.0,138.0,279,2.0,GEORGIA,JAIL,C,860.0,44.0,2850.0,3267.0,2956.0,6223.0,16.0,21.0,37.0,5001.0,5001.0,10002.0,72.0,57.0,60.0,46.0,54.0,33.0,45.0,32.0,29.0,110.0,77.0,73.0,39.0,13.0,21.0,4.0,4.0,0.0,0.0,0.0,0.0,769.0,10002.0,1193.0,6260.0
4784,TROUP,,2015,GA,11,NA,0,0,226.0,NA,NA,6.0,NA,NA,104.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,524.0,NA,NA,336.0,NA,NA,542.0,0,542,336.0,NA,NA,10956513,LaGrange                ,30241     ,13285,318.0,18.0,0,,GEORGIA,JAIL,C,860.0,44.0,2850.0,3267.0,2956.0,6223.0,16.0,21.0,37.0,5001.0,5001.0,10002.0,72.0,57.0,60.0,46.0,54.0,33.0,45.0,32.0,29.0,110.0,77.0,73.0,39.0,13.0,21.0,4.0,4.0,0.0,0.0,0.0,0.0,769.0,10002.0,1193.0,6260.0
4785,TRUMBULL,,2015,OH,36,NA,0,0,150.0,NA,NA,0.0,NA,NA,150.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,6000.0,NA,NA,300.0,NA,NA,6000.0,1000,5000,50.0,NA,NA,10957903,Warren                  ,44481     ,39155,260.0,40.0,250,0.0,OHIO,JAIL,C,860.0,24.0,1550.0,15315.0,15261.0,30576.0,45.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5756.0,30656.0
4786,TULARE,,2015,CA,5,NA,0,0,57.0,NA,NA,916.0,NA,NA,415.0,NA,NA,20.0,NA,NA,16.0,NA,NA,0.0,NA,NA,7.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,22158.0,NA,NA,1431.0,NA,NA,22362.0,4829,17533,570.0,NA,NA,10950304,Visalia                 ,93291     ,6107,1274.0,157.0,861,13.0,CALIFORNIA,JAIL,C,860.0,71.0,1070.0,2271.0,991.0,3262.0,12.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,4638.0
4787,TULSA,,2015,OK,37,NA,1,21,494.0,NA,NA,106.0,NA,NA,873.0,NA,NA,0.0,NA,NA,52.0,NA,NA,0.0,NA,NA,8.0,NA,NA,0.0,NA,NA,0.0,NA,NA,119.0,NA,NA,27597.0,NA,NA,1533.0,NA,NA,27737.0,7399,20338,317.0,NA,NA,10958021,Tulsa                   ,74103     ,40143,1175.0,127.0,1216,2.0,OKLAHOMA,JAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4788,TUOLUMNE,,2015,CA,5,NA,0,0,4.0,NA,NA,14.0,NA,NA,115.0,NA,NA,0.0,NA,NA,7.0,NA,NA,0.0,NA,NA,0.0,NA,NA,7.0,NA,NA,0.0,NA,NA,3.0,NA,NA,3308.0,NA,NA,147.0,NA,NA,3406.0,816,2590,73.0,NA,NA,10956270,Sonora                  ,95370     ,6109,120.0,27.0,74,,CALIFORNIA,JAIL,C,860.0,71.0,1090.0,10764.0,3331.0,14095.0,129.0,37.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6530.0,16229.0
4789,TUSCALOOSA,,2015,AL,1,NA,0,0,332.0,NA,NA,6.0,NA,NA,192.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,3.0,NA,NA,11560.0,NA,NA,530.0,NA,NA,11528.0,3598,7930,31.0,NA,NA,10956062,Tuscaloosa              ,35401     ,1125,387.0,143.0,499,,ALABAMA,JAIL,C,860.0,41.0,1250.0,6582.0,6389.0,12971.0,35.0,49.0,84.0,5196.0,4949.0,10145.0,146.0,100.0,76.0,47.0,60.0,50.0,49.0,36.0,25.0,100.0,57.0,64.0,31.0,14.0,14.0,11.0,5.0,1.0,0.0,0.0,0.0,886.0,10145.0,2967.0,13055.0
4790,TWO,,2015,ME,20,NA,0,0,15.0,NA,NA,3.0,NA,NA,90.0,NA,NA,0.0,NA,NA,1.0,NA,NA,0.0,NA,NA,0.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,2027.0,NA,NA,112.0,NA,NA,2104.0,204,1900,45.0,NA,NA,10958778,Wiscasset               ,04578     ,23015,60.0,52.0,67,,MAINE,JAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4791,TYGART,,2015,WV,49,NA,0,0,18.0,NA,NA,7.0,NA,NA,434.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,1.0,NA,NA,0.0,NA,NA,0.0,NA,NA,3226.0,NA,NA,460.0,NA,NA,3152.0,1002,2150,287.0,NA,NA,10958659,Belington               ,26250     ,54001,386.0,74.0,173,,WEST VIRGINIA,JAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4792,UINTA,,2015,WY,51,NA,0,0,2.0,NA,NA,6.0,NA,NA,35.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,929.0,NA,NA,43.0,NA,NA,1037.0,125,912,19.0,NA,NA,10958748,Evanston                ,82930     ,56041,20.0,23.0,24,3.0,WYOMING,JAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
